;text;option_1;option_2;option_3;option_4;rating
q43746;How many live plants do you have in your home?;None.;One or two.;Three to nine.;Ten or more.;
q29761;Does the idea of living underwater fascinate you?;Yes;No;;;
q182;Have you ever studied math BEYOND calculus?;Yes;No;;;
q19108;Do you think safe sex should be taught in schools?;Yes;No;;;
q24682;It's better to have an open-relationship because there'll be cheating in monogamous relationships anyways.;True;False;;;
q1447;Would you be willing to pay for good sex?;Yes;No;I'm Not Sure;;
q35388;How would you feel about learning Tantric sexual practices?;Sign me up for the next class.;Get a book or video and learn more.;I have no interest.;I am already experienced in Tantric sex.;
q5850;Have you ever been suicidal?;Yes;No;;;
q36631;Is there any genre of music that you completely refuse to listen to?;Yes.;No.;I don't listen to music.;;
q125;Do you lift weights?;Yes;No;;;
q18758;Do you find that arguing with your significant other is arousing to you?;Yes;No;I'm Not Sure;;
q37314;Which of the following 'solutions' do you think would provide the biggest reduction in crime rates?;More and better trained police;More and better armed civilians;More and better implemented social programs;More severe punishment for convicted criminals;
q41689;Imagine that you have a particular sexual desire you would like to satisfy with a significant other, but they are unwilling to help you fulfill it.  How would this affect your relationship?;It would end the relationship.;I would continue only if satisfied elsewhere.;I would manage without it if all else is good.;It wouldn't - Sex just isn't that important to me.;
q6689;Are you quietly angry a lot of the time?;Yes;No;;;
q18153;Have you ever donated blood?;Yes, and I still do;Yes, but I don't want to again/didn't like it;No, I'm ineligible;No;
q68235;If you started getting serious with someone you met on OkCupid, would you feel comfortable telling your family and friends where you met?;Yes.;No.;;;
q50737;Compared to what might be average for their gender and sexual orientation, do you prefer a partner to be more masculine or more feminine?;More masculine.;More feminine.;Average.;It would vary depending upon their gender.;
q52719;Should healthcare be funded by the government?;Yes, for everyone.;Yes, but only for certain people.;No.;I'm not sure.;
q19625;Do you write creatively (novels, plays, poetry, and so forth)?;Call me Shakespeare;Yes, only for assignments, though;Not really / no;;
q35990;Do you have any totally irrational fears, as in something that is extremely unlikely to happen or imaginary?;Yes;No;;;
q43965;Which one would hurt you more?;A lover cheating on you;A thief stealing from you;A friend ruining your good name;None of these would affect me;
q320;Do you tend to blow off your responsibilities?;Yes;No;;;
q18633;Do you feel like a 'complete' person when you are not in a relationship?;Yes;No;I'm Not Sure;I never feel entirely complete;
q19215;Could you date someone who has (and acts on) radical-left politics?;Yes;No way, you commie;As long as it's non-violent.;Not sure;
q21245;You see a mother breastfeeding at the mall.  For the most part she is covered, but you can tell what she is doing.  What is your reaction?;Gross!;How sweet!  What a good mom!;No reaction, just keep shopping.;Sexy.;
q391;Are you disgusted by the extremely obese?;Yes;No;;;
q61412;When are you most creative?;In the morning;In the afternoon.;In the evening.;In the middle of the night.;
q102;Do you like to play contact sports?;Yes;I do, but I don't play much anymore.;No;;
q81866;If you were going to have a daughter, which sexual orientation would you hope she would have?;Lesbian.;Straight.;Bisexual.;It wouldn't matter to me at all.;
q16479;Do you have dessert after dinner?;Yes, often;No;Sometimes;;
q461422;Would you buy your partner perfume or cologne as a gift?;Yes, a scent I love.;Yes, a scent that they love.;No, I wouldn't give it as a gift.;;
q1782;Other than for costumes, do you purchase and wear second hand/vintage clothes?;Yes;No;;;
q81540;Do you look up lyrics on the internet for songs that you like?;Often.;Sometimes.;Seldom.;Never.;
q12221;Have you made fun of anyone recently, knowing that it probably upset them?;Yes;No;;;
q130;Do you look better dressed or naked?;Dressed;Naked;;;
q15747;Is it important to you to have the last word in an argument?;Yes;No;;;
q80986;Would you be interested in playing a board game or card game with a partner with the condition that whatever the winner says, in terms of sex, the loser does?;Yes.;No.;Maybe, with certain limitations.;;
q6635;Are you more likely to hold a grudge or forgive someone?;Hold a grudge;Forgive;;;
q20633;Could you fall in love with someone that you had no initial physical interest in, if you got to know them and they had an amazing personality?;Yes;No;I'm Not Sure;;
q58976;Which of the following types of toys did you generally like best when you were about eight years old?;Creative / building toys.;Action figures, dolls, or model vehicles.;Stuffed animals.;Balls, frisbees, or other sporting goods.;
q18169;Think of when you were a little kid and choose the most appropriate answer.;I got in trouble all the time.;I never got in trouble.;I never got in trouble because I never got caught.;;
q30512;Is it OK for a person in a serious relationship to use OkCupid to make new friends?;Yes;No;I'm Not Sure;;
q6889;Are 'trendy' and 'hip' insults to you?;Yes;No;;;
q20290;Is being 'in-style' with regards to fashion important to you?;Yes, Extremely;Yeah, sometimes;Not really;No Way!;
q6124;Do you usually blurt things out, or do you think carefully before speaking?;Blurt it out;Think carefully;;;
q13103;How big is your porn collection?;Small;Medium;LARGE;I don't have one;
q37681;Have instant ramen noodles ever been your nutritional mainstay for more than 2 weeks?;Yes.;No.;;;
q6016;Are some of your best friends people you met or know online?;Yes;No;;;
q427;Do your parents have strong opinions about what kind of person you should marry?;Yes;No;;;
q63409;Is it logically inconsistent to support the death penalty but oppose abortion?;Yes.;No.;;;
q20896;In a conversation are you usually...;Listening;Waiting to speak;;;
q15754;Would you need to know the sexual history, beyond 6 months back, of someone you dated?;Yes;No;;;
q69083;Are you a collector of things?;Yes, I have many collections.;Yes, I have some collections.;Yes, I have one collection.;No, I do not collect anything.;
q20452;Are you comfortable with who you are?;Yes;No;;;
q12719;How many porn stars can you name off the top of your head?;;Fewer than five;More than five;A LOT more than five;
q18630;Riddle me this, my // fellow OkCupider: // haiku. What say you?;My lifeblood flows in 5-7-5.;That's Japanese right? I like anything from Japan.;Whatever. It's okay.;Shut up. Poetry is for dorks!;
q54871;Do you believe that adults should be able to carry firearms in public?;Yes.;No.;;;
q27141;You wake up 20 minutes before your alarm is scheduled to go off. What do you do?;Get up;Go back to sleep till the alarm goes off;;;
q54786;Does it bother you when people sing the wrong words to a popular song?;Yes.;No.;;;
q444;Do you think most people who are happy in relationships are just lying to themselves?;Yes;No;;;
q15355;If your partner wanted to pay for you, as a couple, to see a professional dominatrix would you go?;Yes;No;;;
q35906;Which best describes your method for paying off financial debt?;I pay off debt as soon as possible.;I pay off debt when it is best for me.;I avoid paying if at all possible.;I never borrow money.;
q46091;Imagine that someone you are dating seems to be falling in love with you.  You like this person, but you're clearly not falling in love. Which of the following would be closest to what you would do?;I'd tell them how I feel and we'd go from there.;I'd do nothing and hope it all works itself out.;I'd break off relations.;I'd use their love for all it's worth.;
q64386;Do you enjoy visiting libraries?;Yes.;No.;;;
q15757;Should a child who's caught masturbating be punished?;Yes;No;I don't know;;
q211;Do you think reptiles are cool?;Yes;No;;;
q6024;Do you have the kind of body that's so hot it turns heads?;Yes;No;;;
q86318;Do you now live in the same city or town as the one which you resided primarily in between the ages of eleven and eighteen?;Yes, I live in that same city now.;No, I live in a completely different place.;No, but I live in a nearby city (;;
q212;Do you sleep with a stuffed animal?;Yes;No;;;
q86349;Do you find science to be interesting?;Yes - Hard Science (Biology, Chemistry, Physics).;Yes - Social Science (Psychology, Sociology).;Yes - Both are interesting.;No - None are interesting.;
q12839;Do people that you've dated/tried to date ever tell you that you're just too 'nice'?;Yes;No;;;
q163;If a poor 20 year-old woman marries a wealthy 40 year-old man, do you assume it's for the money?;Yes;No;;;
q61598;Have you ever entered into a relationship out of desperation?;Yes.;No.;;;
q15946;Would you like to fast-forward to a different stage in your life?;Yes;No;;;
